,City,lat,lon,temp,temp_max,humidity,cloudiness,wind_speed,country
89,Te Horo,-40.81,175.12,51.67,53.6,81.0,98.0,29.97,NZ
90,Amapá,1.0,-52.0,84.88,84.88,73.0,93.0,3.94,BR
92,Norman Wells,65.28,-126.83,-38.2,-38.2,72.0,5.0,3.36,CA
93,Ilulissat,69.22,-51.1,21.2,21.2,79.0,75.0,8.05,GL
94,Belaya Gora,68.53,146.42,-2.9,-2.9,92.0,94.0,1.97,RU
95,Saint-Philippe,-21.36,55.77,77.52,82.4,69.0,90.0,9.17,RE
96,Lebu,-37.62,-73.65,55.99,55.99,88.0,11.0,5.26,CL
97,New Norfolk,-42.78,147.06,61.2,66.0,59.0,96.0,9.17,AU
98,Rawson,-43.3,-65.1,63.84,63.84,45.0,3.0,14.47,AR
99,Tasiilaq,65.61,-37.64,24.8,24.8,79.0,90.0,2.24,GL
100,Ballitoville,-29.54,31.21,75.56,78.01,73.0,20.0,21.92,ZA
101,Wilmington,34.23,-77.94,69.33,75.0,83.0,1.0,9.17,US
102,Rio Branco,-9.97,-67.81,77.0,77.0,100.0,75.0,3.36,BR
103,Matara,5.95,80.54,79.75,79.75,82.0,67.0,4.97,LK
104,Inírida,3.87,-67.92,89.89,89.89,59.0,59.0,3.4,CO
105,Atuona,-9.8,-139.03,81.43,81.43,73.0,50.0,17.16,PF
106,Salalah,17.02,54.09,82.4,82.4,65.0,20.0,9.17,OM
107,Baie-Comeau,49.22,-68.15,27.55,28.99,38.0,1.0,10.29,CA
108,Kailua,21.4,-157.74,69.64,75.2,69.0,75.0,12.75,US
109,Tandil,-37.32,-59.13,75.0,75.0,72.0,0.0,1.01,AR
110,Mulchén,-37.72,-72.23,46.4,46.4,100.0,90.0,5.32,CL
111,Cabedelo,-6.98,-34.83,86.0,86.0,70.0,75.0,9.17,BR
112,Nikolskoye,59.7,30.79,48.2,48.2,39.0,10.0,13.42,RU
113,Pangnirtung,66.15,-65.71,5.85,5.85,79.0,14.0,1.61,CA
114,Iralaya,15.0,-83.23,80.6,80.6,78.0,40.0,9.06,HN
115,Okhotsk,59.38,143.3,25.83,25.83,95.0,100.0,17.96,RU
116,Fengxian,34.7,116.59,46.76,46.76,50.0,100.0,5.61,CN
117,Hithadhoo,-0.6,73.08,84.2,84.2,69.0,53.0,8.61,MV
120,Pacific Grove,36.62,-121.92,45.21,50.0,71.0,75.0,5.82,US
121,Taoudenni,22.68,-3.98,95.43,95.43,14.0,42.0,23.09,ML
122,Abonnema,4.71,6.79,88.2,88.2,65.0,95.0,9.26,NG
124,Gualaquiza,-3.4,-78.55,74.5,74.5,54.0,86.0,1.14,EC
